iter	Passed	Remaining
0	20	20800
1	39	19651
2	57	19082
3	75	18699
4	92	18481
5	111	18398
6	138	19683
7	156	19381
8	174	19202
9	192	19010
10	209	18875
11	227	18720
12	245	18638
13	263	18532
14	280	18450
15	299	18398
16	317	18345
17	335	18294
18	353	18242
19	370	18159
20	388	18110
21	406	18062
22	424	18016
23	441	17965
24	459	17921
25	477	17882
26	495	17842
27	513	17819
28	531	17790
29	549	17756
30	567	17736
31	585	17702
32	603	17684
33	621	17662
34	640	17651
35	658	17634
36	676	17601
37	694	17585
38	712	17548
39	729	17515
40	747	17491
41	766	17483
42	785	17491
43	803	17458
44	821	17424
45	839	17411
46	857	17391
47	875	17373
48	894	17354
49	914	17384
50	938	17458
51	960	17515
52	983	17580
53	1006	17623
54	1029	17684
55	1049	17699
56	1068	17681
57	1087	17654
58	1104	17622
59	1122	17582
60	1140	17553
61	1158	17534
62	1176	17503
63	1194	17475
64	1211	17432
65	1231	17423
66	1250	17418
67	1268	17385
68	1287	17372
69	1306	17355
70	1325	17339
71	1343	17311
72	1360	17278
73	1378	17246
74	1396	17220
75	1414	17195
76	1432	17175
77	1451	17153
78	1469	17128
79	1487	17105
80	1505	17082
81	1524	17069
82	1543	17050
83	1560	17022
84	1578	16993
85	1596	16971
86	1614	16939
87	1631	16913
88	1649	16883
89	1667	16857
90	1684	16831
91	1702	16802
92	1719	16771
93	1737	16743
94	1754	16711
95	1771	16686
96	1789	16658
97	1807	16633
98	1824	16606
99	1842	16581
100	1859	16550
101	1877	16527
102	1895	16503
103	1912	16474
104	1930	16452
105	1948	16431
106	1966	16409
107	1984	16387
108	2002	16370
109	2020	16350
110	2038	16329
111	2057	16310
112	2074	16283
113	2092	16264
114	2110	16245
115	2129	16224
116	2146	16202
117	2167	16200
118	2184	16175
119	2202	16151
120	2219	16123
121	2236	16096
122	2254	16072
123	2271	16045
124	2288	16021
125	2306	15996
126	2324	15980
127	2343	15963
128	2362	15948
129	2380	15927
130	2397	15904
131	2415	15883
132	2433	15863
133	2450	15837
134	2468	15818
135	2485	15790
136	2502	15766
137	2520	15742
138	2537	15717
139	2554	15694
140	2572	15673
141	2590	15651
142	2608	15631
143	2625	15606
144	2642	15582
145	2660	15559
146	2677	15538
147	2695	15517
148	2713	15497
149	2730	15473
150	2748	15451
151	2765	15426
152	2782	15401
153	2799	15377
154	2816	15354
155	2833	15331
156	2850	15307
157	2869	15290
158	2887	15271
159	2905	15251
160	2922	15232
161	2940	15212
162	2958	15189
163	2976	15171
164	2993	15147
165	3012	15136
166	3030	15118
167	3048	15096
168	3066	15077
169	3084	15058
170	3101	15035
171	3118	15014
172	3136	14992
173	3153	14971
174	3171	14951
175	3188	14929
176	3206	14908
177	3223	14887
178	3241	14866
179	3258	14846
180	3275	14823
181	3293	14802
182	3310	14780
183	3327	14757
184	3345	14736
185	3362	14714
186	3380	14696
187	3397	14674
188	3414	14652
189	3432	14632
190	3448	14607
191	3465	14585
192	3483	14563
193	3500	14544
194	3518	14523
195	3535	14501
196	3553	14486
197	3572	14471
198	3590	14451
199	3607	14428
200	3624	14408
201	3641	14387
202	3660	14370
203	3678	14352
204	3695	14330
205	3713	14312
206	3729	14288
207	3746	14266
208	3764	14245
209	3781	14225
210	3799	14206
211	3816	14186
212	3834	14168
213	3851	14147
214	3868	14124
215	3885	14101
216	3903	14083
217	3920	14064
218	3938	14046
219	3956	14026
220	3974	14008
221	3990	13985
222	4008	13965
223	4025	13944
224	4042	13924
225	4060	13905
226	4077	13884
227	4095	13866
228	4112	13847
229	4129	13826
230	4146	13804
231	4163	13784
232	4180	13762
233	4197	13741
234	4214	13720
235	4231	13699
236	4249	13680
237	4267	13662
238	4284	13643
239	4301	13622
240	4319	13605
241	4338	13587
242	4355	13569
243	4374	13552
244	4391	13534
245	4409	13515
246	4427	13498
247	4445	13478
248	4462	13459
249	4479	13439
250	4497	13420
251	4517	13409
252	4535	13391
253	4552	13372
254	4570	13352
255	4586	13330
256	4604	13310
257	4621	13289
258	4638	13271
259	4655	13251
260	4673	13232
261	4690	13212
262	4708	13193
263	4725	13173
264	4742	13153
265	4759	13134
266	4777	13115
267	4794	13096
268	4813	13079
269	4830	13060
270	4847	13040
271	4864	13020
272	4881	13000
273	4900	12983
274	4917	12964
275	4935	12947
276	4962	12952
277	4979	12932
278	4996	12912
279	5014	12893
280	5032	12875
281	5048	12855
282	5066	12837
283	5084	12819
284	5102	12801
285	5121	12784
286	5138	12766
287	5156	12748
288	5173	12728
289	5191	12709
290	5208	12690
291	5226	12671
292	5243	12652
293	5260	12631
294	5277	12611
295	5294	12591
296	5311	12571
297	5328	12552
298	5346	12534
299	5363	12515
300	5382	12498
301	5398	12478
302	5415	12458
303	5432	12438
304	5450	12420
305	5468	12403
306	5486	12385
307	5504	12367
308	5524	12353
309	5541	12334
310	5559	12316
311	5576	12296
312	5593	12277
313	5611	12259
314	5629	12242
315	5647	12225
316	5665	12206
317	5682	12187
318	5700	12168
319	5717	12149
320	5734	12130
321	5751	12109
322	5768	12091
323	5786	12072
324	5803	12052
325	5820	12033
326	5837	12014
327	5854	11995
328	5872	11977
329	5891	11962
330	5910	11946
331	5929	11930
332	5947	11912
333	5964	11894
334	5982	11876
335	5999	11856
