feature,importance
liab_prct,0.7599252023044962
accident_type,0.5349060948954699
accident_site,0.3177763130443997
witness_present_ind,0.2750130679261091
claim_date,0.17179246774672524
high_education_ind,0.12357565950291152
address_change_ind,0.10894154544317548
in_network_bodyshop,0.08667029035663265
email_or_tel_available,0.07037508170627295
gender,0.029315603602749797
zip_code,0.014373848890090676
vehicle_weight,0.012787393686862648
past_num_of_claims,0.011922542340576497
vehicle_mileage,0.01071395160000571
safety_rating,0.010124847082260115
claim_est_payout,0.00975330030636123
vehicle_price,0.009665769191826911
living_status,0.009571368161137723
year_of_born,0.009183877156754311
vehicle_color,0.008415499502342553
policy_report_filed_ind,0.0064278048604229625
annual_income,0.00629637033743914
age_of_DL,0.005047594980219029
vehicle_made_year,0.004109458741463627
vehicle_category,0.0038505539973120975
claim_day_of_week,0.0036106587549162984
channel,0.0011235039842025403
