iter	Logloss
0	0.6826228598
1	0.6727955274
2	0.6637301784
3	0.6557758225
4	0.6488906164
5	0.6425104154
6	0.6345663458
7	0.6276813197
8	0.6212853153
9	0.6153029992
10	0.6087433497
11	0.6024868228
12	0.5976258499
13	0.5932221977
14	0.5884658218
15	0.5840780505
16	0.5794872807
17	0.5756879879
18	0.5713555091
19	0.5681245541
20	0.5635534485
21	0.5613936485
22	0.5584615399
23	0.5554974978
24	0.5523566326
25	0.5489555515
26	0.5466193523
27	0.5443835264
28	0.5428765623
29	0.5410591636
30	0.5387417339
31	0.537024753
32	0.5354355231
33	0.5329054317
34	0.5313722338
35	0.5300837198
36	0.528425762
37	0.5272494284
38	0.5260936286
39	0.5249757918
40	0.5232351473
41	0.5222886276
42	0.5208817294
43	0.5195796886
44	0.5183356878
45	0.5172181557
46	0.5162279315
47	0.5155076751
48	0.5142104424
49	0.5134098783
50	0.5121741226
51	0.5113324769
52	0.5104915763
53	0.5097133269
54	0.5087903599
55	0.5074632404
56	0.5067041789
57	0.5056404188
58	0.5048603637
59	0.50428855
60	0.5034041055
61	0.5024590398
62	0.5018290255
63	0.5013158722
64	0.5005118572
65	0.4999276633
66	0.4989378684
67	0.4982592807
68	0.4978206631
69	0.4971627811
70	0.4963735059
71	0.4957829447
72	0.4953448589
73	0.4948883718
74	0.494532848
75	0.4940791887
76	0.4935517552
77	0.4930590001
78	0.492624019
79	0.4921982717
80	0.491883104
81	0.4915545507
82	0.4911229457
83	0.4905741198
84	0.4902418968
85	0.4898193042
86	0.4894074992
87	0.4888895849
88	0.4884067366
89	0.4878714845
90	0.4874145017
91	0.4870128113
92	0.4864618306
93	0.486075182
94	0.4855988229
95	0.4853074932
96	0.4848783836
97	0.484331995
98	0.4839527633
99	0.4835978489
100	0.4831009061
101	0.482763094
102	0.4823888034
103	0.4819468844
104	0.4814835369
105	0.4810715907
106	0.4805830786
107	0.4802697969
108	0.4799570276
109	0.4796304934
110	0.4792556045
111	0.4789450731
112	0.4785719789
113	0.4781215738
114	0.4777554037
115	0.4774234632
116	0.4770283146
117	0.4766507697
118	0.4763040034
119	0.4760137788
120	0.475738546
121	0.4754539409
122	0.4751032695
123	0.4748811357
124	0.4745523331
125	0.4741812995
126	0.4738726265
127	0.4736247769
128	0.4733653946
129	0.4730283026
130	0.4728350392
131	0.4725021515
132	0.4720695799
133	0.4717824129
134	0.4714512368
135	0.4711625881
136	0.4708157193
137	0.4704732432
138	0.4702388068
139	0.4699975101
140	0.4697484806
141	0.4694011493
142	0.4691860448
143	0.4689350821
144	0.468662511
145	0.4682898544
146	0.4679598083
147	0.4676407381
148	0.4673690976
149	0.4670755549
150	0.466884438
151	0.4666716488
152	0.4664254443
153	0.4661399169
154	0.4657852379
155	0.4654664336
156	0.4651690191
157	0.464832445
158	0.4645554258
159	0.4643242188
160	0.464136694
161	0.4638255948
162	0.4636134344
163	0.463254745
164	0.4630508407
165	0.4628236275
166	0.4625700087
167	0.4622400097
168	0.4619853718
169	0.4617320632
170	0.4615137598
171	0.4612575293
172	0.4610035284
173	0.4607539533
174	0.4605394359
175	0.4602627214
176	0.4600530841
177	0.4598320222
178	0.4595606862
179	0.459287323
180	0.4590165326
181	0.4587257845
182	0.4583902574
183	0.4581289862
184	0.4578957795
185	0.4576597035
186	0.4573722761
187	0.4571021173
188	0.4569157668
189	0.4566645632
190	0.4563636756
191	0.4561857946
192	0.4559706374
193	0.4556600755
194	0.4553943896
195	0.4551843119
196	0.454943511
197	0.4546152042
198	0.4542809011
199	0.4540410723
200	0.4536893706
201	0.4533683451
202	0.4530894897
203	0.4529236399
204	0.4526865281
205	0.4524850334
206	0.4522592105
207	0.4520179913
208	0.4518185046
209	0.4515320466
210	0.4512507983
211	0.4510164976
212	0.4508031545
213	0.4505903487
214	0.4503215747
215	0.4499652035
216	0.449728989
217	0.4494169952
218	0.4491986779
219	0.4489709273
220	0.4488245063
