iter	Passed	Remaining
0	8	8243
1	15	7979
2	23	7859
3	31	7803
4	38	7714
5	45	7592
6	53	7613
7	61	7665
8	69	7617
9	76	7612
10	84	7602
11	92	7586
12	99	7577
13	107	7554
14	115	7563
15	123	7588
16	131	7608
17	139	7603
18	147	7597
19	155	7604
20	162	7586
21	171	7610
22	179	7616
23	187	7625
24	196	7652
25	204	7671
26	213	7701
27	222	7726
28	231	7738
29	239	7748
30	248	7763
31	257	7785
32	266	7795
33	274	7808
34	283	7805
35	291	7819
36	300	7814
37	308	7815
38	316	7811
39	325	7803
40	333	7799
41	341	7790
42	350	7790
43	357	7777
44	365	7765
45	374	7762
46	382	7746
47	390	7735
48	397	7719
49	406	7715
50	414	7707
51	421	7691
52	430	7683
53	437	7667
54	445	7647
55	452	7634
56	460	7621
57	468	7609
58	476	7598
59	484	7592
60	494	7605
61	503	7611
62	512	7628
63	521	7630
64	530	7633
65	538	7625
66	547	7618
67	555	7611
68	563	7601
69	571	7597
70	580	7589
71	587	7576
72	595	7567
73	604	7567
74	612	7558
75	621	7551
76	629	7540
77	637	7534
78	646	7531
79	653	7519
80	662	7511
81	670	7501
82	677	7487
83	685	7477
84	693	7470
85	701	7457
86	709	7444
87	717	7435
88	725	7422
89	732	7409
90	740	7395
91	748	7384
92	755	7370
93	763	7359
94	771	7345
95	778	7334
96	787	7326
97	794	7315
98	802	7306
99	810	7298
100	819	7292
101	827	7281
102	835	7273
103	843	7266
104	851	7257
105	859	7246
106	866	7234
107	874	7224
108	883	7217
109	891	7209
110	898	7197
111	906	7185
112	913	7172
113	921	7162
114	929	7152
115	938	7150
116	946	7140
117	954	7132
118	962	7127
119	971	7120
120	979	7114
121	987	7105
122	995	7101
123	1004	7099
124	1013	7094
125	1021	7086
126	1029	7079
127	1038	7077
128	1047	7073
129	1055	7064
130	1064	7058
131	1072	7053
132	1081	7051
133	1090	7048
134	1099	7043
135	1107	7038
136	1116	7030
137	1124	7023
138	1133	7020
139	1141	7013
140	1150	7006
141	1158	6998
142	1166	6991
143	1174	6982
144	1182	6973
145	1190	6965
146	1198	6955
147	1207	6950
148	1215	6941
149	1223	6930
150	1231	6924
151	1239	6916
152	1247	6907
153	1255	6896
154	1263	6886
155	1270	6875
156	1278	6864
157	1285	6852
158	1293	6841
159	1301	6830
160	1308	6820
161	1316	6810
162	1324	6802
163	1333	6796
164	1341	6789
165	1349	6780
166	1357	6773
167	1366	6765
168	1374	6756
169	1382	6749
170	1390	6741
171	1400	6741
172	1408	6734
173	1417	6727
174	1425	6721
175	1434	6717
176	1443	6710
177	1451	6703
178	1460	6698
179	1469	6692
180	1477	6683
181	1485	6675
182	1494	6674
183	1503	6665
184	1512	6663
185	1525	6675
186	1534	6672
187	1543	6666
188	1552	6660
189	1561	6655
190	1569	6646
191	1577	6638
192	1584	6627
193	1592	6617
194	1600	6606
195	1607	6594
196	1615	6584
197	1623	6574
198	1630	6563
199	1638	6552
200	1646	6543
201	1653	6532
202	1661	6523
203	1669	6512
204	1676	6503
205	1684	6493
206	1692	6482
207	1699	6472
208	1707	6461
209	1715	6451
210	1722	6442
211	1730	6432
212	1738	6422
213	1745	6411
214	1753	6401
215	1760	6391
216	1768	6381
217	1776	6371
218	1783	6362
219	1791	6352
220	1799	6342
221	1807	6334
222	1814	6323
223	1822	6315
224	1830	6304
225	1838	6296
226	1845	6285
227	1853	6276
228	1861	6265
229	1868	6255
230	1875	6244
231	1883	6234
232	1891	6224
233	1898	6214
234	1905	6203
235	1913	6195
236	1921	6187
237	1929	6178
238	1937	6169
239	1961	6211
240	1969	6201
241	1976	6192
242	1984	6182
243	1992	6172
244	2000	6163
245	2007	6154
246	2015	6144
247	2023	6135
248	2031	6125
249	2039	6118
250	2047	6109
251	2055	6102
252	2064	6095
253	2072	6086
254	2081	6080
255	2089	6073
256	2099	6068
257	2108	6062
258	2116	6056
259	2124	6047
260	2133	6039
261	2141	6031
262	2149	6024
263	2157	6015
264	2165	6005
265	2173	5997
266	2182	5990
267	2190	5982
268	2198	5974
269	2206	5966
270	2214	5958
271	2222	5949
272	2230	5939
273	2237	5929
274	2245	5919
275	2253	5910
276	2260	5900
277	2268	5892
278	2277	5886
279	2285	5877
280	2293	5869
281	2301	5860
282	2310	5852
283	2317	5843
284	2325	5834
285	2333	5826
286	2347	5831
287	2357	5828
288	2372	5837
289	2387	5845
290	2396	5839
291	2408	5840
292	2416	5831
293	2424	5823
294	2432	5813
295	2441	5806
296	2449	5797
297	2457	5788
298	2465	5780
299	2473	5771
300	2482	5764
301	2489	5754
302	2498	5746
303	2506	5739
304	2514	5730
305	2522	5721
306	2530	5713
307	2538	5704
308	2546	5694
309	2554	5684
310	2561	5675
311	2569	5666
312	2577	5657
313	2584	5646
314	2592	5638
315	2600	5628
316	2608	5619
317	2616	5610
318	2624	5602
319	2631	5592
320	2639	5583
321	2647	5574
322	2655	5566
323	2663	5557
324	2671	5548
325	2679	5539
326	2687	5530
327	2695	5521
328	2703	5513
329	2710	5503
330	2718	5494
331	2726	5485
332	2734	5477
333	2741	5467
334	2749	5457
335	2757	5448
336	2765	5440
337	2773	5431
338	2780	5421
339	2788	5412
340	2795	5403
341	2803	5393
342	2810	5384
343	2818	5374
344	2825	5364
345	2833	5355
346	2841	5346
347	2848	5337
348	2856	5328
349	2864	5319
350	2872	5311
351	2880	5302
352	2888	5293
353	2896	5285
354	2904	5276
355	2911	5267
356	2919	5258
357	2927	5249
358	2934	5240
359	2942	5231
360	2950	5222
361	2958	5213
362	2965	5203
363	2972	5194
364	2979	5184
365	2987	5175
366	2995	5166
367	3003	5158
368	3010	5148
369	3018	5139
370	3025	5129
371	3033	5120
372	3040	5110
373	3048	5102
374	3055	5093
375	3063	5083
376	3070	5074
377	3078	5065
378	3085	5055
379	3093	5047
380	3100	5037
381	3107	5028
382	3115	5018
383	3123	5010
384	3130	5001
385	3138	4991
386	3145	4982
387	3152	4973
388	3160	4964
389	3167	4955
390	3175	4945
391	3182	4936
392	3190	4928
393	3198	4918
394	3205	4910
395	3213	4900
396	3221	4892
397	3228	4883
398	3236	4875
399	3244	4866
400	3251	4857
